PHYT00001	sp|Q7M1F3|DEF1_AESHI	100	50	0	0	1	50	1	50	6.45e-39	124
PHYT00001	sp|Q7M1F2|DEF1_CLITE	76.0	50	10	2	1	50	2	49	2.47e-25	90.1
PHYT00001	sp|P0C8Y4|DEF1_DAHME	68.0	50	15	1	1	50	2	50	1.41e-22	83.2
PHYT00001	sp|P82787|DEF19_ARATH	63.8	47	17	0	4	50	32	78	1.31e-18	73.9
PHYT00001	sp|P22357|SF18_HELAN	63.8	47	17	0	4	50	19	65	3.57e-18	75.1
PHYT00001	sp|Q84ZX5|ALL1_ARTVU	60.8	51	17	3	1	50	29	77	3.07e-14	64.3
PHYT00001	sp|P30231|DEF1_SINAL	56.0	50	21	1	1	50	3	51	3.47e-12	57.0
PHYT00001	sp|P30224|DEF13_ARATH	56.0	50	21	1	1	50	32	80	4.86e-12	57.4
PHYT00001	sp|P69241|DEF1_RAPSA	56.0	50	21	1	1	50	32	80	6.89e-12	57.0
PHYT00001	sp|C0HL83|AMPD2_STEME	48.9	47	24	0	4	50	35	81	7.06e-12	57.0
PHYT00001	sp|P30232|DEF2A_SINAL	54.0	50	22	1	1	50	3	51	1.42e-11	55.5
PHYT00001	sp|C0HL82|AMPD1_STEME	46.8	47	25	0	4	50	35	81	4.06e-11	55.1
PHYT00001	sp|P30230|DEF2_RAPSA	54.0	50	22	1	1	50	32	80	5.63e-11	54.7
PHYT00001	sp|P86972|DEF1_NIGSA	46.8	47	25	0	4	50	4	50	8.03e-11	53.5
PHYT00001	sp|O80995|DEF14_ARATH	52.0	50	23	1	1	50	32	80	1.13e-10	53.9
PHYT00001	sp|P86973|DEF2_NIGSA	46.8	47	25	0	4	50	4	50	1.62e-10	52.8
PHYT00001	sp|O24331|DEF4_RAPSA	50.0	50	24	1	1	50	32	80	9.25e-10	51.6
PHYT00001	sp|O80994|DEF15_ARATH	50.0	50	24	1	1	50	32	80	1.31e-09	51.2
PHYT00001	sp|Q9FI23|DEF16_ARATH	50.0	50	24	1	1	50	32	80	1.31e-09	51.2
PHYT00001	sp|Q9FI22|DEF17_ARATH	50.0	50	24	1	1	50	32	80	1.31e-09	51.2
PHYT00001	sp|Q39313|DEF3_BRANA	52.0	50	23	1	1	50	31	79	2.58e-09	50.4
PHYT00001	sp|O24332|DEF3_RAPSA	52.0	50	23	1	1	50	31	79	2.58e-09	50.4
PHYT00001	sp|P0C8Y5|DEF1_HEUSA	47.1	51	25	2	1	50	5	54	5.93e-09	48.9
PHYT00001	sp|P69240|DEF1_BRANA	62.9	35	12	1	1	35	3	36	1.96e-08	47.4
